CodigoLocalidad,CodigoRecinto,CodigoMesa,opcion,conteo
4556,32250,2087892,FP,0
4556,32250,2087892,MAS-IPSP,3
4556,32250,2087892,UNIDAD,3
4556,32250,2087892,PDC,3
4557,32251,2087902,AP,2
4557,32251,2087902,LYP-ADN,0
4557,32251,2087902,APB-SUMATE,0
4557,32251,2087902,LIBRE,0
4557,32251,2087902,FP,0
4557,32251,2087902,MAS-IPSP,5
4557,32251,2087902,UNIDAD,6
4557,32251,2087902,PDC,0
4583,32295,2087912,AP,40
4583,32295,2087912,LYP-ADN,0
4583,32295,2087912,APB-SUMATE,0
4583,32295,2087912,LIBRE,0
4583,32295,2087912,FP,0
4583,32295,2087912,MAS-IPSP,2
4583,32295,2087912,UNIDAD,2
4583,32295,2087912,PDC,0
644,25772,2087922,AP,18
644,25772,2087922,LYP-ADN,1
644,25772,2087922,APB-SUMATE,1
644,25772,2087922,LIBRE,3
644,25772,2087922,FP,2
644,25772,2087922,MAS-IPSP,5
644,25772,2087922,UNIDAD,8
644,25772,2087922,PDC,22
645,2388,2087932,AP,15
645,2388,2087932,LYP-ADN,0
645,2388,2087932,APB-SUMATE,1
645,2388,2087932,LIBRE,0
645,2388,2087932,FP,0
645,2388,2087932,MAS-IPSP,10
645,2388,2087932,UNIDAD,1
645,2388,2087932,PDC,3
647,25771,2087952,AP,28
647,25771,2087952,LYP-ADN,0
647,25771,2087952,APB-SUMATE,7
647,25771,2087952,LIBRE,1
647,25771,2087952,FP,1
647,25771,2087952,MAS-IPSP,8
647,25771,2087952,UNIDAD,5
647,25771,2087952,PDC,5
648,2419,2087962,AP,26
648,2419,2087962,LYP-ADN,0
648,2419,2087962,APB-SUMATE,0
648,2419,2087962,LIBRE,1
648,2419,2087962,FP,7
648,2419,2087962,MAS-IPSP,5
648,2419,2087962,UNIDAD,0
648,2419,2087962,PDC,9
649,2422,2087972,AP,4
649,2422,2087972,LYP-ADN,0
649,2422,2087972,APB-SUMATE,1
649,2422,2087972,LIBRE,3
649,2422,2087972,FP,1
649,2422,2087972,MAS-IPSP,3
649,2422,2087972,UNIDAD,2
649,2422,2087972,PDC,5
650,25773,2087982,AP,24
650,25773,2087982,LYP-ADN,0
650,25773,2087982,APB-SUMATE,13
650,25773,2087982,LIBRE,0
650,25773,2087982,FP,0
650,25773,2087982,MAS-IPSP,8
650,25773,2087982,UNIDAD,4
650,25773,2087982,PDC,26
651,2458,2087992,AP,52
651,2458,2087992,LYP-ADN,2
651,2458,2087992,APB-SUMATE,1
651,2458,2087992,LIBRE,3
651,2458,2087992,FP,1
651,2458,2087992,MAS-IPSP,14
651,2458,2087992,UNIDAD,1
651,2458,2087992,PDC,11
651,2458,2088002,AP,8
651,2458,2088002,LYP-ADN,0
651,2458,2088002,APB-SUMATE,0
651,2458,2088002,LIBRE,0
651,2458,2088002,FP,0
651,2458,2088002,MAS-IPSP,2
651,2458,2088002,UNIDAD,0
651,2458,2088002,PDC,0
3474,1,3052912,AP,6
3474,1,3052912,LYP-ADN,2
3474,1,3052912,APB-SUMATE,0
3474,1,3052912,LIBRE,4
3474,1,3052912,FP,1
3474,1,3052912,MAS-IPSP,8
3474,1,3052912,UNIDAD,8
3474,1,3052912,PDC,5
3474,1,3052922,AP,2
3474,1,3052922,LYP-ADN,0
3474,1,3052922,APB-SUMATE,0
3474,1,3052922,LIBRE,4
3474,1,3052922,FP,1
3474,1,3052922,MAS-IPSP,7
3474,1,3052922,UNIDAD,15
3474,1,3052922,PDC,1
3475,1,3052932,AP,35
3475,1,3052932,LYP-ADN,2
3475,1,3052932,APB-SUMATE,0
3475,1,3052932,LIBRE,1
3475,1,3052932,FP,2
3475,1,3052932,MAS-IPSP,9
3475,1,3052932,UNIDAD,4
3475,1,3052932,PDC,0
4029,25357,3053162,AP,9
4029,25357,3053162,LYP-ADN,3
4029,25357,3053162,APB-SUMATE,0
4029,25357,3053162,LIBRE,6
4029,25357,3053162,FP,2
4029,25357,3053162,MAS-IPSP,14
4029,25357,3053162,UNIDAD,0
