CodigoLocalidad,CodigoRecinto,CodigoMesa,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,NombreLocalidad,NombreRecinto,NumeroMesa
3364,24022,7064822,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,Buena Hora,U.E. Prof. Rubén Coímbra Callau,1
3541,1,7064832,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,La Estrella,U.E. Santa Clara,1
3541,1,7064842,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,La Estrella,U.E. Santa Clara,2
3541,1,7064852,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,La Estrella,U.E. Santa Clara,3
3541,1,7064862,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,La Estrella,U.E. Santa Clara,4
3542,1,7064872,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,San Josema,U.E. Juan de Dios Zabala Silva,1
3544,1,7064902,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,Pailita,U.E. Ignacio Dorado,1
3545,1,7064912,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,San Nicolas del Cerrito,U.E. Simon Bolivar,1
3979,1,7065102,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,San Javierito,U.E. San Javierito,1
3979,1,7065112,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,San Javierito,U.E. San Javierito,2
3979,1,7065122,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,San Javierito,U.E. San Javierito,3
3980,1,7065132,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,15 de Agosto,U.E. 15 de Agosto,1
3981,1,7065142,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,San Rafaelito de Suponema,U.E. Profesor Hernan Capobiano,1
3982,1,7065152,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,Santa Anita de la Frontera,U.E. Santa Anita de La Frontera,1
